Adresas,Kaina,Namo numeris:,Plotas:,Sklypo plotas:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Vanduo:,Įrengimas:,Iki vandens telkinio (m):,Ypatybės:,Papildomos patalpos:,Reklama:,Reklama/pasiūlymas:,Unikalus daikto numeris(RC numeris):,Kambarių sk.:,Papildoma įranga:,Apsauga:,Artimiausias vandens telkinys:,Pastato energijos suvartojimo klasė:
"Alytaus r. sav., Medukštos k., Sodininkų g., mūrinis sodo namas",41 300 €,52,"137,73 m²","6,82 a",2,1982,Mūrinis,Sodo namas,"Centrinis, kietu kuru",Kita,Įrengtas,10,Kraštinis sklypasAsfaltuotas privažiavimasElektra,GaražasRūsys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus r. sav., Navasodų I k., rąstinė sodyba",21 000 €,1,"2,034 m²","2,034 a",1,1970,Rąstinis,Sodyba,Kietu kuru,Šulinys,Įrengtas,,Greta miško,RūsysŪkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3313-0005-0042,2,Su baldais,,,
"Alytaus r. sav., Skiturių k., Skiturių g., rąstinis namas",19 000 €,25,"48,37 m²",16 a,1,1956,Rąstinis,Namas (gyvenamasis),Kita,,Dalinė apdaila,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4400-0005-2431,,,,,
"Alytaus r. sav., Medukštos k., Medžiotojų g., mūrinis sodo namas",16 250 €,42,52 m²,10 a,2,1980,Mūrinis,Sodo namas,Kita,Kita,Įrengtas,,Greta miškoAsfaltuotas privažiavimasElektra,Rūsys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,1,,,,
"Alytaus r. sav., Lelionių k., Ežerėlio g., mūrinis namas",50 000 €,,356 m²,18 a,2,1961,Mūrinis,Namas (gyvenamasis),Kietu kuru,,Dalinė apdaila,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus r. sav., Bendrių k., Saulėtekio g., medinis kita",20 000 €,2,60 m²,42 a,1,2011,Medinis,"Kita (nukeliamas, projektas, kt.)",Elektra,,Neįrengtas,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4400-0683-8051,,,,,
"Alytaus r. sav., Navasodų I k., rąstinis namas",79 000 €,2,110 m²,1525 a,1,1988,Rąstinis,Namas (gyvenamasis),Kietu kuru,Šulinys,Kita,,Greta miškoElektra,GaražasŪkiniai pastatai,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus r. sav., Padvariškių k., Lapakalnio g., mūrinis namas",229 000 €,6,"279,05 m²",45 a,3,"1986 statyba, 2011 renovacija",Mūrinis,Namas (gyvenamasis),"Skystu kuru, kietu kuru","Šulinys, vietinis vandentiekis",Įrengtas,,Asfaltuotas privažiavimasElektra,GaražasPirtisRūsysŪkiniai pastataiTerasa,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,Virtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaVaizdo kameros,,
"Alytaus r. sav., Medukštos k., Jurginų g., mūrinis sodo namas",26 000 €,,"55,3 m²","5,98 a",2,1987,Mūrinis,Sodo namas,"Elektra, kietu kuru",,Įrengtas,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus r. sav., Miklusėnų k., Ūdrijos g., mūrinis namas",155 000 €,89,"128,02 m²","14,9 a",1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,,Neįrengtas,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus r. sav., Veismūnų k., medinė sodyba",44 999 €,,40 m²,25 a,1,2023,Medinis,Sodyba,"Kietu kuru, saulės energija, kita","Šulinys, kita",Įrengtas,5,Kraštinis sklypasGreta miškoElektraInternetasSu pakrante,PirtisŪkiniai pastataiTerasa,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,ViryklėŽidinys,,Upė,A+
"Alytus, Likiškėliai, Jūratės g., mūrinis namas",174 999 €,112,272 m²,"13,31 a",2,2017,Mūrinis,Namas (gyvenamasis),Kita,,Dalinė apdaila,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytus, Senamiestis, Sodų g., mūrinis namas",85 000 €,,66 m²,6 a,2,1961,Mūrinis,Namas (gyvenamasis),Kietu kuru,"Šulinys, vietinis vandentiekis",Įrengtas,200,Asfaltuotas privažiavimasElektra,RūsysŪkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,Aptverta teritorija,Upė,
"Alytaus r. sav., Kaniūkų k., Žiedo g., mūrinis namas",156 000 €,,145 m²,6 a,2,2014,Mūrinis,Namas (gyvenamasis),Kietu kuru,Vietinis vandentiekis,Įrengtas,,,Rūsys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,,,,
"Alytus, Vidzgiris, Sudvajų g., mūrinis sublokuotas namas",299 000 €,47,"320,26 m²","5,38 a",2,2000,Mūrinis,Sublokuotas namas,"Dujinis, kietu kuru",Miesto vandentiekis,Įrengtas,,Asfaltuotas privažiavimasElektraDujos,GaražasRūbinėRūsysTerasa,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,8,Virtuvės komplektasŽidinysPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacija,,
"Alytaus r. sav., Venciūnų k., Alytaus g., mūrinis namas",59 876 €,14,"102,22 m²",18 a,2,1971,Mūrinis,Namas (gyvenamasis),Kietu kuru,Vietinis vandentiekis,Įrengtas,950,Asfaltuotas privažiavimasElektra,GaražasRūsysŪkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4400-1230-7070,6,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėPlastikiniai vamzdžiai,,Upė,
"Alytus, Pirmas Alytus, Veliuonos g., mūrinis namas",125 555 €,8,80 m²,"6,29 a",1,2022,Mūrinis,Namas (gyvenamasis),Elektra,Miesto vandentiekis,Dalinė apdaila,,Greta miškoElektra,Terasa,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,Šildomos grindysPlastikiniai vamzdžiai,,,A++
"Alytaus r. sav., Krokialaukio mstl., Dariaus ir Girėno g., medinė sodyba",20 000 €,5,120 m²,51 a,1,1937,Medinis,Sodyba,Kietu kuru,,Įrengtas,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytus, Pirmas Alytus, Šilelio g., mūrinis namas",268 000 €,19B,238 m²,"7,13 a",2,2013,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Miesto vandentiekis,Įrengtas,100,Kraštinis sklypasGreta miškoElektraInternetas,GaražasPirtisRūbinėTerasa,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacija,Upė,
"Alytus, Vidzgiris, Puodžių g., karkasinis namas",236 000 €,17,100 m²,"5,58 a",1,2024,Karkasinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Įrengtas,,Elektra,RūbinėŪkiniai pastataiTerasa,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Šildomos grindys,Aptverta teritorija,,A+
"Alytaus r. sav., Mergalaukio k., Sodų g., medinis namas",17 210 €,6,"73,17 m²","20,69 a",2,1968,Medinis,Namas (gyvenamasis),Kietu kuru,Šulinys,Įrengtas,,Elektra,GaražasŪkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4400-5946-1108,,,,,
"Alytaus r. sav., Karkliniškių k., Radvilonių kel., mūrinis namas",250 000 €,13,"228,94 m²","195,38 a",2,2023,Mūrinis,Namas (gyvenamasis),Kietu kuru,,Įrengtas,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytus, Senamiestis, Senoji g., mūrinis namas",440 000 €,6,182 m²,"6,51 a",2,2020,Mūrinis,Namas (gyvenamasis),Geoterminis,Miesto vandentiekis,Įrengtas,,ElektraInternetasKabelinė televizija,BaseinasGaražasRūbinėTerasa,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,6,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,,
"Alytaus r. sav., Daugų m., Sodyba",3 000 000 €,,18 m²,1800 a,,2024,Kita,Sodyba,Kietu kuru,,Įrengtas,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,5,,,,
"Alytaus r. sav., Pasimnių k., Žalgirio g., medinė sodyba",38 000 €,3,67 m²,25 a,1,"1938 statyba, 1990 renovacija",Medinis,Sodyba,Kietu kuru,,Įrengtas,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus r. sav., Kaniūkų k., Žvejų g., Sodyba",14 000 €,23,"44,58 m²","6,2 a",,1990,Kita,Sodyba,Kietu kuru,Šulinys,Įrengtas,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,3,,,,
"Alytaus r. sav., Veismūnų k., mūrinė sodyba",29 000 €,,120 m²,58 a,,2010,Mūrinis,Sodyba,Kietu kuru,Šulinys,Nebaigtas statyti,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,2,,,,
"Alytaus r. sav., Meškučių k., Nedzingės g., rąstinis namas",56 000 €,1,84 m²,50 a,1,"1960 statyba, 1989 renovacija",Rąstinis,Namas (gyvenamasis),Kietu kuru,Artezinis,Įrengtas,2 000,Asfaltuotas privažiavimasElektra,GaražasRūsysŪkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3396-0012-3013,4,,Aptverta teritorija,Ežeras,
"Alytaus r. sav., Miklusėnų k., Statybininkų g., mūrinis namas",104 000 €,,190 m²,12 a,2,1998,Mūrinis,Namas (gyvenamasis),Kietu kuru,,Įrengtas,,ElektraDujosAsfaltuotas privažiavimas,GaražasRūsys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Skalbimo mašinaŠaldytuvasViryklė,Aptverta teritorija,,
"Alytaus r. sav., Muiželėnų k., Genių g., monolitinis sodo namas",31 000 €,35,80 m²,6 a,3,1990,Monolitinis,Sodo namas,Kietu kuru,Šulinys,Įrengtas,1 000,Kraštinis sklypasGreta miškoElektra,PirtisŪkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,2,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinys,,Upė,
"Alytaus r. sav., Simno m., Vanagėlio g., mūrinis namas",63 000 €,32,"89,85 m²",15 a,2,1972,Mūrinis,Namas (gyvenamasis),"Centrinis, kietu kuru","Miesto vandentiekis, šulinys",Įrengtas,500,Asfaltuotas privažiavimasElektra,GaražasŪkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,6,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklė,,Ežeras,
"Alytus, Senamiestis, Žirgų g., karkasinis namas",220 000 €,1D,"79,78 m²",10 a,1,2022,Karkasinis,Namas (gyvenamasis),"Elektra, saulės energija",Miesto vandentiekis,Įrengtas,,Kraštinis sklypasGreta miškoElektraInternetas,RūbinėTerasa,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,3,Skalbimo mašinaSu baldaisŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,SignalizacijaVaizdo kameros,,A++
"Alytaus r. sav., Poteronių k., Vilniaus g., karkasinis sodo namas",26 000 €,,40 m²,55 a,1,2022,Karkasinis,Sodo namas,Kita,,Neįrengtas,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,A+
"Alytaus r. sav., Krokininkų k., Krokininkų g., medinė sodyba",30 000 €,28,63 m²,40 a,,1968,Medinis,Sodyba,Kietu kuru,Šulinys,Dalinė apdaila,,ElektraAsfaltuotas privažiavimas,PirtisGaražasŪkiniai pastatai,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,2,Su baldaisSkalbimo mašinaŠaldytuvasViryklė,,,
"Alytaus r. sav., Balkūnų k., Saulės g., rąstinis namas",99 999 €,,200 m²,"2,81 a",2,"1957 statyba, 2023 renovacija",Rąstinis,Namas (gyvenamasis),Kita,"Artezinis, šulinys",Įrengtas,10,Elektra,RūsysŪkiniai pastataiTerasa,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Virtuvės komplektas,,Upė,
"Alytaus r. sav., Norgeliškių k., Žalioji g., mūrinė sodyba",110 000 €,4,95 m²,40 a,,1986,Mūrinis,Sodyba,"Kietu kuru, kita",Miesto vandentiekis,Įrengtas,,ElektraInternetasKraštinis sklypasAsfaltuotas privažiavimas,GaražasRūsysŪkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,,,,
"Alytaus r. sav., Balkasodžio k., Smėlio g., mūrinis sodo namas",22 999 €,16,72 m²,"12,4 a",2,1981,Mūrinis,Sodo namas,Kietu kuru,Šulinys,Įrengtas,200,Kraštinis sklypasGreta miškoElektra,GaražasRūsys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,2,Su baldais,,Upė,
"Alytaus r. sav., Pociūniškių k., medinis namas",39 500 €,1,"90,53 m²","72,28 a",2,1988,Medinis,Namas (gyvenamasis),Kietu kuru,Šulinys,Įrengtas,,Greta miškoAsfaltuotas privažiavimasElektra,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,3,,,Ežeras,
"Alytaus r. sav., Medukštos k., Medžiotojų g., karkasinis namas",120 000 €,6,"79,89 m²",6 a,1,2024,Karkasinis,Namas (gyvenamasis),"Elektra, centrinis kolektorinis","Artezinis, kita",Įrengtas,15,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraInternetasKabelinė televizija,RūbinėTerasa,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,3,KondicionieriusŠildomos grindysPlastikiniai vamzdžiai,Aptverta teritorija,Upė,B
"Alytaus r. sav., Medukštos k., Sodininkų g., mūrinis namas",108 000 €,6,"75,59 m²","7,91 a",2,"1990 statyba, 2022 renovacija",Mūrinis,Namas (gyvenamasis),Kietu kuru,,Įrengtas,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus r. sav., Bazorų k., Pakrantės g., Sodo namas",15 400 €,11,"73,02 m²","12,5 a",2,1981,Kita,Sodo namas,Kietu kuru,,Įrengtas,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3398-1033-8014,,,,,
"Alytaus r. sav., Atesninkų k., Ežero g., medinis namas",32 000 €,18,"27,9 m²","23,4 a",1,1960,Medinis,Namas (gyvenamasis),Kietu kuru,Šulinys,Įrengtas,,Asfaltuotas privažiavimas,Pirtis,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,Su baldaisŠaldytuvasViryklėŽidinys,Signalizacija,,
"Alytus, Putinai, Putinų g., mūrinis namas",165 056 €,64P,80 m²,"12,26 a",1,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,,Dalinė apdaila,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,,,,A++
"Alytaus r. sav., Pivašiūnų k., Trakų g., mūrinė sodyba",41 500 €,19,118 m²,14 a,1,1971,Mūrinis,Sodyba,"Centrinis, kietu kuru",Šulinys,Įrengtas,500,Asfaltuotas privažiavimasElektra,GaražasRūsysŪkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,5,,Signalizacija,Ežeras,F
"Alytaus r. sav., Butrimonių mstl., V. Kudirkos g., mūrinė sodyba",35 000 €,,72 m²,20 a,1,1973,Mūrinis,Sodyba,Centrinis,Miesto vandentiekis,Įrengtas,,Kraštinis sklypasElektra,Ūkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,2,,,,
"Alytaus r. sav., Miklusėnų k., Naujoji g., blokinis namas",150 000 €,59,"220,27 m²",26 a,1,2020,Blokinis,Namas (gyvenamasis),Kita,,Neįrengtas,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytus, Pirmas Alytus, Piliakalnio g., rąstinė namo dalis",72 000 €,10,87 m²,"5,16 a",2,"1900 statyba, 2014 renovacija",Rąstinis,Namo dalis,"Centrinis, aeroterminis",Miesto vandentiekis,Įrengtas,100,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasInternetasKabelinė televizija,GaražasTerasa,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,5,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėIndaplovė,,Upė,
"Alytus, Senamiestis, Bijūnų g., mūrinis namas",170 000 €,2,176 m²,"5,44 a",2,"1993 statyba, 2017 renovacija",Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,,,GaražasRūsys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus r. sav., Bazorų k., Pakrantės g., karkasinis sodo namas",9 000 €,53,36 m²,6 a,2,2008,Karkasinis,Sodo namas,Kita,,Neįrengtas,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytus, Putinai, Putinų g., mūrinis namas",138 062 €,64I,80 m²,"7,77 a",1,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,,Dalinė apdaila,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,,,,A++
"Alytus, Senamiestis, Seirijų g., mūrinis namas",209 000 €,24A,150 m²,3 a,3,"2004 statyba, 2022 renovacija",Mūrinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Įrengtas,,Elektra,GaražasPirtisRūsys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,6,Virtuvės komplektasViryklėIndaplovė,,,
"Alytus, Putinai, Putinų g., mūrinis namas",140 018 €,64A,80 m²,"8,03 a",1,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Dalinė apdaila,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,,,,A++
"Alytaus r. sav., Bazorų k., Vyšnių g., mūrinis sodo namas",14 500 €,,"43,5 m²",6 a,2,1986,Mūrinis,Sodo namas,Kietu kuru,,Kita,,Elektra,Rūsys,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,1,,,,
"Alytaus r. sav., Ąžuolinių k., Piliakalnio g., mūrinis namas",45 000 €,14,"88,21 m²",17 a,1,1969,Mūrinis,Namas (gyvenamasis),Centrinis,Miesto vandentiekis,Įrengtas,,Asfaltuotas privažiavimasElektra,GaražasŪkiniai pastatai,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus r. sav., Norgeliškių k., Žalioji g., mūrinis namas",105 000 €,6,247 m²,63 a,1,1979,Mūrinis,Namas (gyvenamasis),"Centrinis, kietu kuru",,Įrengtas,,ElektraAsfaltuotas privažiavimasKraštinis sklypasGreta miško,Ūkiniai pastataiGaražasRūsys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,4,Su baldaisVirtuvės komplektasViryklė,,,
"Alytaus r. sav., Muiželėnų k., Centrinė g., medinis kita",9 000 €,,620 m²,"6,2 a",1,1984,Medinis,"Kita (nukeliamas, projektas, kt.)",Kita,,Kita,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Alytaus r. sav., Kalesninkų k., medinė sodyba",11 000 €,,72 m²,45 a,1,1920,Medinis,Sodyba,"Centrinis, elektra",,Įrengtas,,Kraštinis sklypas,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,
