Adresas,Kaina,Namo numeris:,Plotas:,Sklypo plotas:,Kambarių sk.:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Vanduo:,Įrengimas:,Reklama:,Artimiausias vandens telkinys:,Pastato energijos suvartojimo klasė:,Reklama/pasiūlymas:,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,Iki vandens telkinio (m):,Unikalus daikto numeris(RC numeris):
"Palanga, Monciškės g., karkasinis kita",190 000 €,55,120 m²,4 a,4,2,2021,Karkasinis,"Kita (nukeliamas, projektas, kt.)",Elektra,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,B,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraInternetasKabelinė televizija,RūbinėŪkiniai pastatai,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovė,SignalizacijaŠarvuotos durys,2 000,4400-5582-3131
"Palanga, Palanga, Vakaro g., mūrinis sublokuotas namas",213 800 €,4G,"85,52 m²",5 a,3,1,2025,Mūrinis,Sublokuotas namas,"Elektra, saulės energija",Miesto vandentiekis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Elektra,Terasa,KondicionieriusŠildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durys,,
"Palanga, Palanga, Žiogupio g., monolitinis namas",558 800 €,22,254 m²,9 a,10,2,2016,Monolitinis,Namas (gyvenamasis),"Aeroterminis, dujinis, kietu kuru",,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,B,Saulės elektrinė Jūsų namui ar butui:,ElektraDujosKraštinis sklypasGreta miško,TerasaPirtisRūbinėŪkiniai pastataiGaražas,ŽidinysŠildomos grindysSu baldaisPlastikiniai vamzdžiaiKondicionieriusSkalbimo mašinaŠaldytuvasVirtuvės komplektasViryklėIndaplovė,SignalizacijaVaizdo kamerosAptverta teritorija,,
"Palanga, Tremtinių g., mūrinis namas",820 000 €,,"374,86 m²","18,35 a",,2,2008,Mūrinis,Namas (gyvenamasis),Geoterminis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Aido tak., mūrinis namas",255 000 €,38,68 m²,5 a,3,2,2024,Mūrinis,Namas (gyvenamasis),"Elektra, saulės energija",Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,A++,Saulės elektrinė Jūsų namui ar butui:,,Terasa,,,600,4400-0573-4999
"Palanga, Aido tak., mūrinis sublokuotas namas",169 000 €,,40 m²,2 a,3,1,2021,Mūrinis,Sublokuotas namas,Elektra,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Asfaltuotas privažiavimasInternetas,Terasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklė,Aptverta teritorijaSignalizacijaVaizdo kameros,500,
"Palanga, Šventoji, Kalgraužių g., mūrinis sodo namas",135 000 €,,80 m²,6 a,,1,2022,Mūrinis,Sodo namas,Kita,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Gėlių a., mūrinis namas",800 000 €,9,"313,5 m²","6,1 a",,2,1957,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,,,,,500,
"Palanga, Lydekų g., mūrinis sublokuotas namas",199 999 €,,69 m²,"2,5 a",,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,A++,Saulės elektrinė Jūsų namui ar butui:,Asfaltuotas privažiavimasElektra,RūbinėTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Šarvuotos durys,,
"Palanga, Paliepgirių kel., mūrinis namas",529 999 €,7B,300 m²,"5,4 a",,2,"1991 statyba, 2020 renovacija",Mūrinis,Namas (gyvenamasis),"Centrinis, dujinis",,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Palanga, Vaivorykštės g., mūrinis namas",370 000 €,,78 m²,6 a,4,1,2017,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasAsfaltuotas privažiavimasDujosInternetas,GaražasRūbinėTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durys,,
"Palanga, Palanga, Eglių g., mūrinis sublokuotas namas",350 000 €,,"69,43 m²","1,74 a",3,2,2022,Mūrinis,Sublokuotas namas,"Aeroterminis, saulės energija",Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,A+,Saulės elektrinė Jūsų namui ar butui:,Greta miškoAsfaltuotas privažiavimasElektraInternetas,Terasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,600,
"Palanga, Šventoji, Žemuogių tak., rąstinis namas",133 000 €,21,68 m²,6 a,4,2,2007,Rąstinis,Namas (gyvenamasis),Kietu kuru,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Upė,,Saulės elektrinė Jūsų namui ar butui:,Greta miško,Rūsys,Skalbimo mašinaSu baldaisŠaldytuvas,Aptverta teritorija,200,
"Palanga, Palanga, Vaivorykštės g., mūrinis namas",289 000 €,61E,67 m²,15 a,3,2,2020,Mūrinis,Namas (gyvenamasis),Elektra,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,A++,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraInternetas,BaseinasPirtisTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,600,4400-5281-9968
"Palanga, Šventoji, Kalgraužių g., mūrinis namas",120 000 €,,"82,35 m²",6 a,,2,2016,Mūrinis,Namas (gyvenamasis),Kietu kuru,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Šventoji, Kuršių tak., karkasinis namas",227 000 €,20A,77 m²,4 a,4,2,2023,Karkasinis,Namas (gyvenamasis),Elektra,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,A+,Saulės elektrinė Jūsų namui ar butui:,Greta miškoElektra,Terasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,,280,
"Palanga, Palanga, Neringos g., mūrinis namas",620 000 €,8,"323,92 m²",4 a,,3,1959,Mūrinis,Namas (gyvenamasis),"Elektra, kietu kuru",,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,ElektraAsfaltuotas privažiavimasGreta miško,Ūkiniai pastataiRūsys,Su baldaisPlastikiniai vamzdžiaiSkalbimo mašinaŠaldytuvasVirtuvės komplektasViryklė,Aptverta teritorija,,
"Palanga, Šventoji, Elijos g., medinis sodo namas",6 100 €,,12 m²,1 a,,1,2021,Medinis,Sodo namas,Elektra,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Palanga, Klaipėdos pl., mūrinis kita",149 900 €,59D,80 m²,1 a,3,2,2001,Mūrinis,"Kita (nukeliamas, projektas, kt.)","Aeroterminis, elektra, kietu kuru",,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,B,Saulės elektrinė Jūsų namui ar butui:,InternetasElektraAsfaltuotas privažiavimasGreta miško,TerasaRūbinėRūsys,Šildomos grindysSu baldaisPlastikiniai vamzdžiaiKondicionieriusŠaldytuvasVirtuvės komplektasViryklėIndaplovė,,,
"Palanga, Vaivorykštės g., medinė sodyba",130 000 €,,75 m²,"22,8 a",,1,1910,Medinis,Sodyba,Kietu kuru,,Kita,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Vakaro g., mūrinis namas",219 000 €,,"60,75 m²","1,19 a",2,2,2022,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,A+,Saulės elektrinė Jūsų namui ar butui:,ElektraDujosInternetas,Ūkiniai pastataiTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,,
"Palanga, Vaivorykštės g., mūrinis namas",139 000 €,57,76 m²,4 a,,1,2023,Mūrinis,Namas (gyvenamasis),"Elektra, aeroterminis",,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Palanga, Vilimiškės kel., medinis namas",198 000 €,,"125,9 m²","11,48 a",5,1,2018,Medinis,Namas (gyvenamasis),Kietu kuru,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,A+,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Šventoji, Audronašų g., skydinė sodyba",397 000 €,,"251,75 m²","13,19 a",,1,2017,Skydinis,Sodyba,Kita,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Elektra,Terasa,KondicionieriusSu baldaisVirtuvės komplektas,Aptverta teritorija,,
"Palanga, Aušros g., mūrinis namas",280 000 €,33,120 m²,4 a,5,2,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,A+,Saulės elektrinė Jūsų namui ar butui:,ElektraDujosInternetasKabelinė televizijaAsfaltuotas privažiavimas,Terasa,KondicionieriusSu baldais,SignalizacijaŠarvuotos durys,,
"Palanga, Hipodromo g., mūrinis namas",349 000 €,13,110 m²,5 a,3,2,2021,Mūrinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,A+,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasAsfaltuotas privažiavimasInternetas,Terasa,KondicionieriusSu baldaisRekuperacinė sistema,Aptverta teritorijaSignalizacija,,
"Palanga, Palanga, Vaivorykštės g., mūrinis namas",225 000 €,64H,90 m²,3 a,,2,2023,Mūrinis,Namas (gyvenamasis),Dujinis,,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Palanga, Jūratės g., mūrinis namas",780 000 €,,285 m²,10 a,,3,2015,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Gabijos g., mūrinis sublokuotas namas",245 000 €,4,146 m²,"1,4 a",4,2,2008,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,InternetasKabelinė televizija,,Su baldais,Signalizacija,,
"Palanga, Kontininkų g., mūrinis namas",161 500 €,,37 m²,"0,15 a",3,2,2019,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Greta miškoAsfaltuotas privažiavimasInternetasKabelinė televizija,BaseinasPirtisTerasa,Su baldais,Aptverta teritorijaSignalizacijaVaizdo kameros,500,
"Palanga, Vilimiškės kel., mūrinis namas",245 000 €,60A,144 m²,10 a,4,1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,"Miesto vandentiekis, šulinys",Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,,A+,Saulės elektrinė Jūsų namui ar butui:,Asfaltuotas privažiavimasElektraDujos,Terasa,Šildomos grindysRekuperacinė sistema,,,
"Palanga, Palanga, Griaustinio g., mūrinis namas",349 000 €,7,"76,8 m²","7,11 a",4,1,2017,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,,Ūkiniai pastataiTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysIndaplovė,Aptverta teritorijaSignalizacija,800,
"Palanga, Neringos g., mūrinis namas",1 200 000 €,6,497 m²,"10,35 a",,3,1997,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Greta miškoAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasRūsysTerasa,,Aptverta teritorijaSignalizacija,,
"Palanga, Kontininkų g., mūrinis sublokuotas namas",154 900 €,5A,"32,02 m²",2 a,,2,2019,Mūrinis,Sublokuotas namas,Dujinis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Vingio g., medinis namas",628 000 €,21,"411,5 m²",24 a,,2,2015,Medinis,Namas (gyvenamasis),Kita,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Austėjos g., mūrinis sublokuotas namas",256 800 €,11A,107 m²,7 a,,2,2024,Mūrinis,Sublokuotas namas,Aeroterminis,,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Bruknių tak., karkasinis sodo namas",109 900 €,,103 m²,6 a,,2,2004,Karkasinis,Sodo namas,Kietu kuru,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Užkanavės g., mūrinis namas",520 000 €,,138 m²,"4,22 a",5,2,2016,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Greta miškoAsfaltuotas privažiavimasElektraDujosInternetas,GaražasPirtisTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysIndaplovė,Aptverta teritorija,,
"Palanga, Šventoji, Šventosios g., mūrinis sublokuotas namas",169 650 €,34,"78,18 m²","1,18 a",3,2,2022,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,A+,Saulės elektrinė Jūsų namui ar butui:,Greta miškoAsfaltuotas privažiavimasElektraDujos,Ūkiniai pastataiTerasa,Šildomos grindysRekuperacinė sistema,,1 200,
"Palanga, Vaivorykštės g., mūrinis sublokuotas namas",179 000 €,51,50 m²,"0,8 a",3,2,2023,Mūrinis,Sublokuotas namas,Elektra,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Asfaltuotas privažiavimasElektra,Terasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,850,
"Palanga, Šventoji, Ošupio tak., karkasinis namas",169 650 €,1I,"38,89 m²","1,73 a",2,2,2016,Karkasinis,Namas (gyvenamasis),Elektra,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Asfaltuotas privažiavimasElektraInternetasKabelinė televizija,RūsysTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėPlastikiniai vamzdžiai,,500,
"Palanga, Šventoji, Mokyklos g., mūrinis sublokuotas namas",249 000 €,,"129,15 m²","2,5 a",3,2,2019,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujos,GaražasTerasa,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinys,Aptverta teritorijaSignalizacijaŠarvuotos durys,,
"Palanga, Aido tak., mūrinis sublokuotas namas",125 900 €,,39 m²,2 a,3,1,2021,Mūrinis,Sublokuotas namas,Elektra,Miesto vandentiekis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,,,Saulės elektrinė Jūsų namui ar butui:,Asfaltuotas privažiavimasElektra,BaseinasTerasa,Šildomos grindys,Aptverta teritorijaSignalizacijaŠarvuotos durys,,
"Palanga, Palanga, Kurorto g., karkasinis sublokuotas namas",232 000 €,,"101,97 m²",5 a,4,1,2021,Karkasinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,GaražasTerasa,Šildomos grindysRekuperacinė sistema,Aptverta teritorija,,
"Palanga, Vaivorykštės g., karkasinis namas",329 000 €,,123 m²,7 a,,1,2018,Karkasinis,Namas (gyvenamasis),"Dujinis, kietu kuru",,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,Greta miškoInternetasKabelinė televizija,PirtisRūbinėRūsysTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,,
"Palanga, Vingio g., mūrinis namas",298 900 €,,71 m²,"7,5 a",,1,2021,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Kurorto g., karkasinis sublokuotas namas",189 000 €,57A,"101,97 m²",5 a,4,1,2021,Karkasinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,GaražasTerasa,Šildomos grindysRekuperacinė sistema,Aptverta teritorija,,
"Palanga, Šventoji, Žibų g., karkasinis namas",54 000 €,108,20 m²,"13,2 a",,1,2023,Karkasinis,Namas (gyvenamasis),"Elektra, kietu kuru, saulės energija, kita",,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Vaivorykštės g., mūrinis sublokuotas namas",225 000 €,61,39 m²,2 a,2,1,2021,Mūrinis,Sublokuotas namas,Elektra,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,A+,Saulės elektrinė Jūsų namui ar butui:,Asfaltuotas privažiavimasInternetas,BaseinasTerasa,KondicionieriusSu baldaisŠaldytuvasVirtuvės komplektasViryklėIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,,
"Palanga, Palanga, Aido tak., mūrinis sublokuotas namas",219 000 €,10B,60 m²,3 a,3,2,2020,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,A+,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraDujosInternetas,Terasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durys,600,
"Palanga, Jūros g., mūrinis namas",2 295 000 €,,478 m²,20 a,9,3,"2016 statyba, 2022 renovacija",Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,Asfaltuotas privažiavimas,Garažas,Su baldais,Signalizacija,,
"Palanga, Mėtų skg., mūrinis namas",480 000 €,,"266,1 m²",4 a,,2,"1994 statyba, 1999 renovacija",Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
