Adresas,Kaina,Namo numeris:,Plotas:,Sklypo plotas:,Kambarių sk.:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Vanduo:,Įrengimas:,Reklama:,Artimiausias vandens telkinys:,Pastato energijos suvartojimo klasė:,Reklama/pasiūlymas:,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,Iki vandens telkinio (m):,Unikalus daikto numeris(RC numeris):
"Palanga, Palanga, Klaipėdos pl., mūrinis sublokuotas namas",250 000 €,4N,"67,55 m²","1,83 a",,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Palanga, M. Daujoto g., mūrinis sublokuotas namas",399 000 €,13B,"70,96 m²",2 a,3,2,2019,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraDujosInternetas,RūbinėTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,800,
"Palanga, Putinų tak., mūrinis sodo namas",168 000 €,7,"227,45 m²","10,72 a",6,2,1990,Mūrinis,Sodo namas,Kietu kuru,"Miesto vandentiekis, šulinys",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Upė,,Saulės elektrinė Jūsų namui ar butui:,Elektra,GaražasPirtisRūbinėRūsysŪkiniai pastataiTerasa,Židinys,Aptverta teritorija,50,
"Palanga, Vakaro g., mūrinis sublokuotas namas",179 000 €,3D,77 m²,2 a,4,2,2023,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,ElektraDujosInternetas,Terasa,,Aptverta teritorijaSignalizacija,,
"Palanga, Šventoji, Parko g., mūrinis sublokuotas namas",258 000 €,,"102,23 m²","3,69 a",3,2,2019,Mūrinis,Sublokuotas namas,"Elektra, dujinis",Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasAsfaltuotas privažiavimasElektra,Terasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacijaŠarvuotos durys,600,
"Palanga, Latgalos g., mūrinis sublokuotas namas",240 000 €,,"61,21 m²","1,5 a",3,2,2022,Mūrinis,Sublokuotas namas,"Elektra, kita",Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,A++,Saulės elektrinė Jūsų namui ar butui:,,BaseinasPirtisTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysViryklėIndaplovėRekuperacinė sistema,,800,
"Palanga, Aido tak., mūrinis sublokuotas namas",220 000 €,,61 m²,"2,5 a",,2,2021,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,ElektraDujos,Terasa,Su baldaisŠildomos grindysVirtuvės komplektas,Aptverta teritorijaSignalizacija,,
"Palanga, Tuopų g., mūrinis sublokuotas namas",169 000 €,19,"84,31 m²","7,5 a",3,1,2023,Mūrinis,Sublokuotas namas,Aeroterminis,,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Jūra,A++,Saulės elektrinė Jūsų namui ar butui:,,,,,1 050,
"Palanga, Šviesos g., mūrinis namas",325 000 €,,"108,28 m²",10 a,,2,2017,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,A+,Saulės elektrinė Jūsų namui ar butui:,Asfaltuotas privažiavimasElektraDujosKabelinė televizija,Pirtis,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,,
"Palanga, Šventoji, Žibų g., rąstinis sublokuotas namas",95 000 €,,40 m²,1 a,2,2,2014,Rąstinis,Sublokuotas namas,Kita,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Asfaltuotas privažiavimasElektraInternetas,Terasa,Skalbimo mašinaSu baldaisŠaldytuvasViryklė,Aptverta teritorija,2 000,
"Palanga, J. Janonio g., mūrinis namas",749 000 €,9,299 m²,7 a,10,3,"1959 statyba, 1996 renovacija",Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujos,GaražasRūbinėŪkiniai pastataiTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,1 000,
"Palanga, Vanagupės g., mūrinis kita",1 540 000 €,,413 m²,"16,4 a",6,2,2004,Mūrinis,"Kita (nukeliamas, projektas, kt.)","Centrinis, dujinis",Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Greta miškoAsfaltuotas privažiavimasElektraDujosInternetas,BaseinasPirtisRūbinėTerasa,KondicionieriusSu baldaisŠildomos grindysŽidinysPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,500,
"Palanga, Nendrės g., mūrinis namas",390 000 €,3,"78,29 m²","3,55 a",4,2,2021,Mūrinis,Namas (gyvenamasis),Elektra,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraInternetasKabelinė televizija,RūbinėŪkiniai pastataiTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėIndaplovė,Aptverta teritorija,200,
"Palanga, S. Dariaus ir S. Girėno g., mūrinis sublokuotas namas",690 000 €,,"104,2 m²","2,42 a",,3,2001,Mūrinis,Sublokuotas namas,Dujinis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Palanga, Plytų g., mūrinis namas",945 000 €,,"258,9 m²","7,5 a",9,2,2023,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasElektraDujosAsfaltuotas privažiavimas,GaražasTerasa,Skalbimo mašinaSu baldais,Signalizacija,,
"Palanga, Palanga, Vilimiškės kel., mūrinis namas",250 000 €,121,110 m²,"6,05 a",,2,2023,Mūrinis,Namas (gyvenamasis),Dujinis,,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Monciškės g., mūrinis sublokuotas namas",195 000 €,,"46,52 m²",2 a,3,2,2022,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,A++,Saulės elektrinė Jūsų namui ar butui:,,BaseinasPirtisTerasa,KondicionieriusSu baldaisŠildomos grindysVirtuvės komplektas,Aptverta teritorijaVaizdo kameros,,
"Palanga, Jūražolių g., mūrinis namas",348 000 €,26,126 m²,10 a,4,1,2022,Mūrinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,A++,Saulės elektrinė Jūsų namui ar butui:,,RūbinėTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėIndaplovėRekuperacinė sistema,,,
"Palanga, Palanga, Kontininkų g., mūrinis namas",440 000 €,,80 m²,"6,75 a",,2,2023,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Jūratės g., mūrinis namas",450 000 €,23,"169,08 m²","4,36 a",6,2,1957,Mūrinis,Namas (gyvenamasis),Centrinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasTerasa,,Aptverta teritorija,950,
"Palanga, Žemaičių g., mūrinis namas",450 000 €,5E,"132,08 m²","2,59 a",,3,2012,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Priešaušrio g., rąstinis namas",450 000 €,,330 m²,8 a,6,2,2005,Rąstinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,D,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasPirtisRūbinėRūsysTerasa,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaŠarvuotos durys,,
"Palanga, Šventoji, Paupio g., karkasinis namas",133 600 €,,"46,8 m²",4 a,3,2,2024,Karkasinis,Namas (gyvenamasis),Elektra,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Upė,,Saulės elektrinė Jūsų namui ar butui:,Greta miškoElektra,Terasa,KondicionieriusŠildomos grindysPlastikiniai vamzdžiai,,100,
"Palanga, Austrinio g., mūrinis sublokuotas namas",140 000 €,66,70 m²,"2,5 a",3,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Jūra,A+,Saulės elektrinė Jūsų namui ar butui:,Elektra,Rūbinė,,SignalizacijaŠarvuotos durys,1 900,
"Palanga, Gudobelių g., mūrinis sublokuotas namas",139 000 €,3,"39,48 m²",1 a,,2,2018,Mūrinis,Sublokuotas namas,Aeroterminis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Bebrų g., mūrinis sublokuotas namas",170 000 €,28A,90 m²,"2,5 a",4,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Jūra,A+,Saulės elektrinė Jūsų namui ar butui:,Elektra,,,SignalizacijaŠarvuotos durys,1 900,
"Palanga, Vaivorykštės g., mūrinis namas",320 000 €,,"74,5 m²",4 a,3,1,2021,Mūrinis,Namas (gyvenamasis),Kita,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Kunigiškių g., mūrinis sublokuotas namas",309 500 €,,"78,4 m²","1,64 a",3,2,2023,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,A++,Saulės elektrinė Jūsų namui ar butui:,Asfaltuotas privažiavimas,Terasa,KondicionieriusSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durys,650,
"Palanga, Žalioji g., mūrinis namas",185 000 €,,79 m²,5 a,3,2,2017,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Šventoji, Paupio g., karkasinis sublokuotas namas",110 000 €,22,"42,02 m²","1,9 a",3,2,2023,Karkasinis,Sublokuotas namas,Aeroterminis,Vietinis vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Upė,,Saulės elektrinė Jūsų namui ar butui:,Greta miško,Terasa,Kondicionierius,Signalizacija,200,
"Palanga, S. Dariaus ir S. Girėno g., mūrinis sublokuotas namas",1 110 000 €,3,"105,81 m²","2,32 a",,3,"2001 statyba, 2021 renovacija",Mūrinis,Sublokuotas namas,Dujinis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,KondicionieriusRekuperacinė sistema,SignalizacijaVaizdo kameros,,
"Palanga, Elijos g., karkasinis namas",165 600 €,9F,72 m²,"3,42 a",3,2,2021,Karkasinis,Namas (gyvenamasis),Aeroterminis,,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,,,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektra,Terasa,,Aptverta teritorijaVaizdo kameros,,
"Palanga, Lenktoji g., mūrinis namas",389 000 €,13,"235,9 m²",10 a,5,2,"2012 statyba, 2022 renovacija",Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Asfaltuotas privažiavimasElektraDujos,GaražasRūbinėRūsysTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Signalizacija,,
"Palanga, Vingio g., mūrinis sublokuotas namas",160 000 €,,56 m²,2 a,3,2,2024,Mūrinis,Sublokuotas namas,Elektra,Miesto vandentiekis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Jūra,A++,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraInternetasKabelinė televizija,Terasa,,,600,
"Palanga, Rugių g., mūrinis sublokuotas namas",197 700 €,,70 m²,"2,5 a",3,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,A+,Saulės elektrinė Jūsų namui ar butui:,ElektraInternetas,Terasa,KondicionieriusŠildomos grindysRekuperacinė sistema,SignalizacijaŠarvuotos durys,,
"Palanga, Bebrų g., mūrinis sublokuotas namas",235 000 €,,90 m²,"2,5 a",4,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,A+,Saulės elektrinė Jūsų namui ar butui:,ElektraInternetas,Terasa,KondicionieriusŠildomos grindysRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durys,,
"Palanga, Sakalo g., mūrinis namas",445 000 €,29,"93,08 m²","2,1 a",5,3,2023,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Greta miškoAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,Terasa,,,300,
"Palanga, Vaivorykštės g., mūrinis sublokuotas namas",385 000 €,,85 m²,"2,9 a",4,2,2022,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,Terasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,600,
"Palanga, Uosių g., mūrinis sublokuotas namas",236 900 €,2,103 m²,2 a,,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Sedulų tak., mūrinis sublokuotas namas",186 000 €,29,64 m²,2 a,4,2,2018,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Asfaltuotas privažiavimas,Terasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovė,Aptverta teritorijaŠarvuotos durys,,
"Palanga, Bruknių tak., karkasinis namas",99 220 €,29,80 m²,6 a,4,2,2023,Karkasinis,Namas (gyvenamasis),Aeroterminis,Artezinis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektra,Terasa,Šildomos grindys,,,
"Palanga, Šventoji, mūrinė sodyba",175 000 €,,350 m²,98 a,9,2,2007,Mūrinis,Sodyba,"Centrinis kolektorinis, kietu kuru","Šulinys, vietinis vandentiekis",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Upė,,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasGreta miškoElektraInternetas,GaražasPirtisRūbinėRūsysŪkiniai pastataiTerasa,Skalbimo mašinaSu baldaisŠaldytuvasViryklėŽidinysPlastikiniai vamzdžiai,Aptverta teritorijaŠarvuotos durysVaizdo kameros,100,
"Palanga, Klaipėdos pl., mūrinis namas",300 000 €,39,"66,46 m²","3,29 a",,2,2022,Mūrinis,Namas (gyvenamasis),Aeroterminis,,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraInternetasKabelinė televizija,Terasa,Rekuperacinė sistema,Aptverta teritorijaSignalizacija,700,
"Palanga, Šventoji, Molo g., mūrinis sublokuotas namas",406 900 €,50,"68,3 m²","2,675 a",4,2,2021,Mūrinis,Sublokuotas namas,Elektra,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,A+,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraInternetasKabelinė televizija,Terasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorijaSignalizacijaVaizdo kameros,100,
"Palanga, Klaipėdos pl., mūrinis sublokuotas namas",149 900 €,59D,80 m²,1 a,,2,2001,Mūrinis,Sublokuotas namas,Elektra,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Kunigiškių g., mūrinis namas",320 000 €,4A,190 m²,3 a,5,3,2011,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasPirtisTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėIndaplovė,Aptverta teritorijaSignalizacijaVaizdo kameros,400,
"Palanga, Medvalakio g., mūrinis sublokuotas namas",289 000 €,25C,"90,35 m²","1,69 a",,3,2021,Mūrinis,Sublokuotas namas,Aeroterminis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Vytauto g., mūrinis namas",595 000 €,,"128,3 m²",5 a,5,2,2005,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,Greta miškoAsfaltuotas privažiavimasElektraDujos,RūbinėTerasa,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorija,600,
"Palanga, Klaipėdos pl., mūrinis sublokuotas namas",165 000 €,6E,65 m²,0 a,3,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Jūra,A++,Saulės elektrinė Jūsų namui ar butui:,Greta miškoAsfaltuotas privažiavimasElektra,Terasa,,,850,
"Palanga, Užkanavės g., mūrinis sublokuotas namas",405 000 €,71,153 m²,"3,42 a",,2,2014,Mūrinis,Sublokuotas namas,Kita,Miesto vandentiekis,Neįrengtas,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Jūra,,Saulės elektrinė Jūsų namui ar butui:,ElektraDujos,,,,400,
"Palanga, Vingio g., mūrinis sublokuotas namas",223 000 €,14B,53 m²,"1,5 a",,2,2022,Mūrinis,Sublokuotas namas,Dujinis,,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,,,Saulės elektrinė Jūsų namui ar butui:,,,,,,
"Palanga, Sergiškių g., mūrinis namas",175 000 €,19,77 m²,"2,5 a",4,2,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Jūra,A++,Saulės elektrinė Jūsų namui ar butui:,Asfaltuotas privažiavimasElektra,RūbinėTerasa,,Aptverta teritorijaSignalizacijaŠarvuotos durys,800,
"Palanga, Kankorėžių g., mūrinis sublokuotas namas",375 000 €,,210 m²,"7,5 a",4,1,2019,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Jūra,B,Saulės elektrinė Jūsų namui ar butui:,Greta miškoElektra,,,Aptverta teritorijaSignalizacijaŠarvuotos durys,800,
